,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
47,,37,23,UGC 12894,29.64,,8.47,Tully-Fisher,2013AJ....145..101K,,,,,33,
98,,88,64,UGC 12900,34.82,,92.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
99,,89,64,UGC 12900,34.83,,92.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
100,,90,64,UGC 12900,34.83,,92.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
101,,91,64,UGC 12900,34.87,,94.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
202,,170,107,UGC 12913,34.5,,79.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
203,,171,107,UGC 12913,34.5,,79.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
204,,172,107,UGC 12913,34.5,,79.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
208,,176,107,UGC 12913,34.79,,90.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
297,R,258,125,WLM,25.88,,1.5,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
302,,262,128,UGC 12905,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
303,,263,128,UGC 12905,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
304,,264,128,UGC 12905,33.96,,61.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
305,,265,128,UGC 12905,34.15,,67.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
336,,291,148,UGC 12920,34.29,,72.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
337,,292,148,UGC 12920,34.3,,72.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
338,,293,148,UGC 12920,34.3,,72.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
339,,294,148,UGC 12920,34.48,,78.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
535,,441,209,NGC 7814,30.98,,15.7,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
546,R,452,209,NGC 7814,32.7,,34.7,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
694,,577,260,FGC 0001,32.7,,34.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
695,,578,260,FGC 0001,33.19,,43.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
696,,579,260,FGC 0001,33.21,,43.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
697,,580,260,FGC 0001,33.24,,44.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
873,,725,348,ESO 409-IG 015,29.43,,7.69,Tully-Fisher,2013AJ....145..101K,,,,,33,
879,,731,353,FGCE 0006,33.92,,60.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
880,,732,353,FGCE 0006,33.94,,61.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
881,,733,353,FGCE 0006,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
882,,734,353,FGCE 0006,34.04,,64.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
1038,,854,418,UGC 00047,31.63,,21.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1039,,855,418,UGC 00047,31.65,,21.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1040,,856,418,UGC 00047,31.69,,21.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1100,,901,435,UGC 00054,34.25,,70.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1101,,902,435,UGC 00054,34.26,,71.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1102,,903,435,UGC 00054,34.27,,71.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1105,,906,435,UGC 00054,34.32,,73.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
1147,,936,454,NGC 0001,33.17,,43.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
1148,,937,454,NGC 0001,33.18,,43.3,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
1149,,938,454,NGC 0001,33.37,,47.2,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
1150,,939,454,NGC 0001,33.47,,49.4,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
1262,,1028,491,UGC 00064,29.91,,9.59,Tully-Fisher,2013AJ....145..101K,,,,,33,
1343,,1095,517,ESO 349- G 031,28.06,,4.1,Tully-Fisher,2003A&A...404...93K,,,,,23,
1372,,1122,524,FGC 0008,33.95,,61.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1373,,1123,524,FGC 0008,33.96,,62.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1374,,1124,524,FGC 0008,33.96,,62.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1409,R,1151,534,NGC 0010,34.51,,79.8,Tully-Fisher,2005Ap&SS.298..577R,,,,,25,B
1410,R,1152,534,NGC 0010,34.59,,82.8,Tully-Fisher,2005Ap&SS.298..577R,,,,,25,I
1623,,1342,601,NGC 0024,29.82,,9.2,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,"GClstr NGC 0045 GROUP BCG 2 of 2, B"
1629,,1348,601,NGC 0024,29.98,,9.91,Tully-Fisher,2013AJ....145..101K,,,,,33,GClstr NGC 0045 GROUP BCG 2 of 2
1699,,1404,624,NGC 0026,33.6,,52.5,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
1711,,1416,625,UGC 00095,35.11,,105.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
1712,,1417,625,UGC 00095,35.11,,105.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1713,,1418,625,UGC 00095,35.11,,105.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1715,,1420,625,UGC 00095,35.23,,111.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
1771,,1465,636,NGC 0019,33.22,,44.1,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
1803,,1489,643,NGC 0021,33.66,,54.0,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
1908,,1577,673,AM 0008-324 NED02,33.72,,55.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
1909,,1578,673,AM 0008-324 NED02,33.76,,56.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
1910,,1579,673,AM 0008-324 NED02,33.76,,56.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2204,,1783,764,UGC 00122,30.21,,11.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
2205,,1784,764,UGC 00122,30.25,,11.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
2206,,1785,764,UGC 00122,30.27,,11.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2207,,1786,764,UGC 00122,30.38,,11.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
2262,,1831,789,FGC 0023,35.13,,106.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
2299,R,1868,804,NGC 0045,29.51,,7.98,Tully-Fisher,2006sf2a.conf..365V,,,,,26,"GClstr NGC 0045 GROUP BCG 1 of 2, LEDA [April 2006]"
2301,,1870,804,NGC 0045,29.82,,9.2,Tully-Fisher,2013AJ....145..101K,,,,,33,GClstr NGC 0045 GROUP BCG 1 of 2
2311,,1880,808,UGC 00135,34.53,,80.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
2312,,1881,808,UGC 00135,34.54,,81.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
2313,,1882,808,UGC 00135,34.56,,81.5,Tully-Fisher,2000BSAO...50....5K,,,,,20,
2314,,1883,808,UGC 00135,34.56,,81.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2495,,2032,870,NGC 0055,24.78,,0.904,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
2496,,2033,870,NGC 0055,24.83,,0.925,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
2497,,2034,870,NGC 0055,24.86,,0.938,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
2498,R,2035,870,NGC 0055,24.91,,0.9590000000000001,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
2501,,2038,870,NGC 0055,26.28,,1.8,Tully-Fisher,2003A&A...404...93K,,,,,23,
2667,,2168,948,ESO 350- G 005,35.21,,110.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
2668,,2169,948,ESO 350- G 005,35.22,,111.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
2669,,2170,948,ESO 350- G 005,35.24,,112.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
2670,,2171,948,ESO 350- G 005,35.26,,113.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3120,,2545,1138,FGC 0031,33.48,,49.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3121,,2546,1138,FGC 0031,33.5,,50.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3122,,2547,1138,FGC 0031,33.52,,50.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3123,,2548,1138,FGC 0031,33.57,,51.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3251,R,2660,1182,IC 0010,25.52,,1.27,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
3252,,2661,1182,IC 0010,26.3,,1.82,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
3253,,2662,1182,IC 0010,26.45,,1.95,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
3254,,2663,1182,IC 0010,26.76,,2.25,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
3323,,2719,1215,UGC 00201,35.91,,152.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3324,,2720,1215,UGC 00201,35.91,,152.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3325,,2721,1215,UGC 00201,35.92,,153.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3327,,2723,1215,UGC 00201,36.02,,160.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3573,,2917,1282,FGC 0036,34.45,,77.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3574,,2918,1282,FGC 0036,34.47,,78.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3575,,2919,1282,FGC 0036,34.48,,78.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3585,,2927,1285,NGC 0095,33.55,,51.3,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
3594,,2936,1286,UGC 00211,34.15,,67.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3595,,2937,1286,UGC 00211,34.42,,76.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3596,,2938,1286,UGC 00211,34.43,,77.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3597,,2939,1286,UGC 00211,34.45,,77.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3705,,3021,1331,ESO 350- G 012,34.9,,95.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3706,,3022,1331,ESO 350- G 012,34.93,,96.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3707,,3023,1331,ESO 350- G 012,34.94,,97.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3708,,3024,1331,ESO 350- G 012,34.97,,98.8,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3726,,3039,1345,FGC 0040,34.67,,86.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3727,,3040,1345,FGC 0040,34.78,,90.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3728,,3041,1345,FGC 0040,34.79,,90.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3729,,3042,1345,FGC 0040,34.79,,90.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3732,,3045,1348,UGC 00222,34.69,,86.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3733,,3046,1348,UGC 00222,34.7,,87.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3734,,3047,1348,UGC 00222,34.71,,87.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3735,,3048,1348,UGC 00222,34.76,,89.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
3792,,3083,1370,NGC 0055 GROUP,27.97,,3.93,Tully-Fisher,1983ApJ...275..430V,,,74.3,,3,GClstr NGC 0055 GROUP
3861,,3138,1392,NGC 0099,32.32,,29.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
3870,,3147,1398,NGC 0100,30.76,,14.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
3871,,3148,1398,NGC 0100,30.77,,14.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
3872,,3149,1398,NGC 0100,30.77,,14.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
3873,,3150,1398,NGC 0100,30.87,,14.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4034,,3258,1445,UGC 00238,33.79,,57.3,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
4175,,3366,1486,MCG -01-02-011,34.36,,74.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4177,,3368,1486,MCG -01-02-011,34.36,,74.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4178,,3369,1486,MCG -01-02-011,34.36,,74.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4208,,3392,1498,FGC 0045,33.01,,40.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4209,,3393,1498,FGC 0045,33.62,,52.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4210,,3394,1498,FGC 0045,33.63,,53.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4211,,3395,1498,FGC 0045,33.63,,53.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4348,,3502,1539,NGC 0112,33.92,,60.8,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
4430,,3573,1557,UGC 00260,32.6,,33.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4432,,3575,1557,UGC 00260,32.61,,33.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4433,,3576,1557,UGC 00260,32.61,,33.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4435,,3578,1557,UGC 00260,32.7,,34.7,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4620,,3705,1614,UGC 00279,34.13,,67.0,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
4740,,3799,1661,NGC 0125,34.02,,63.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
4798,,3839,1684,UGC 00290,29.73,,8.81,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4799,,3840,1684,UGC 00290,29.74,,8.87,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4800,,3841,1684,UGC 00290,29.77,,8.99,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4801,,3842,1684,UGC 00290,29.81,,9.17,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4834,,3871,1701,UGC 00294,34.61,,83.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
4835,,3872,1701,UGC 00294,34.62,,83.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
4836,,3873,1701,UGC 00294,34.64,,84.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
4838,,3875,1701,UGC 00294,34.7,,87.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
4872,,3902,1718,NGC 0131,29.79,,9.08,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
4983,,3986,1755,NGC 0134,30.36,,11.8,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP BCG 1 of 1, Diameter"
4985,,3988,1755,NGC 0134,30.51,,12.6,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP BCG 1 of 1, Mean of B mag and Diameter TF relation"
4988,,3991,1755,NGC 0134,30.58,,13.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP BCG 1 of 1, B"
4989,,3992,1755,NGC 0134,30.59,,13.1,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,"GClstr NGC 0134 GROUP BCG 1 of 1, B"
5061,,4050,1778,NGC 0134 GROUP,30.36,,11.8,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP, Diameter"
5063,,4052,1778,NGC 0134 GROUP,30.51,,12.6,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP, Mean of B mag and Diameter TF relation"
5066,,4055,1778,NGC 0134 GROUP,30.58,,13.1,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,"GClstr NGC 0134 GROUP, B"
5067,,4056,1778,NGC 0134 GROUP,30.59,,13.1,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,"GClstr NGC 0134 GROUP, B"
5172,,4139,1801,ESO 473- G 024,29.98,,9.91,Tully-Fisher,2013AJ....145..101K,,,,,33,
5192,,4153,1808,ESO 539- G 014,34.59,,82.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
5193,,4154,1808,ESO 539- G 014,34.59,,82.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
5194,,4155,1808,ESO 539- G 014,34.6,,83.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
5235,,4189,1813,UGC 00316,35.84,,147.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
5236,,4190,1813,UGC 00316,35.86,,149.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
5237,,4191,1813,UGC 00316,35.87,,149.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
5238,,4192,1813,UGC 00316,35.88,,150.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
5369,,4295,1851,UGC 00320,32.87,,37.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
5370,,4296,1851,UGC 00320,32.89,,37.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
5371,,4297,1851,UGC 00320,32.9,,38.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
5372,,4298,1851,UGC 00320,32.98,,39.4,Tully-Fisher,2000BSAO...50....5K,,,,,20,
5606,,4501,1916,NGC 0151,32.18,,27.3,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
5636,,4531,1923,NGC 0150,30.49,,12.5,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
5738,,4622,1960,NGC 0157,30.29,,11.4,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
5746,,4630,1960,NGC 0157,30.55,,12.9,Tully-Fisher,2017MNRAS.468.2058E,,,,,37,
5749,R,4633,1960,NGC 0157,31.32,,18.4,Tully-Fisher,2006sf2a.conf..365V,,,,,26,LEDA [April 2006]
5792,,4672,1973,UGC 00347,33.94,,61.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
5793,,4673,1973,UGC 00347,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
5794,,4674,1973,UGC 00347,33.95,,61.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
5795,,4675,1973,UGC 00347,33.97,,62.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
5988,,4829,2026,FGCE 0062,32.34,,29.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
5989,,4830,2026,FGCE 0062,32.4,,30.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
5990,,4831,2026,FGCE 0062,32.44,,30.7,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
5991,,4832,2026,FGCE 0062,32.45,,30.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6063,,4874,2037,FGCE 0066,35.11,,105.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6065,,4876,2037,FGCE 0066,35.12,,106.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6066,,4877,2037,FGCE 0066,35.14,,106.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6109,,4918,2051,NGC 0169,33.05,,40.7,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
6175,,4976,2074,NGC 0173,32.38,,29.9,Tully-Fisher,1985A&AS...59...43B,,,103.0,,5,Diameter
6176,,4977,2074,NGC 0173,32.56,,32.5,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
6198,,4998,2081,UGC 00371,34.19,,68.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6199,,4999,2081,UGC 00371,34.2,,69.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6200,,5000,2081,UGC 00371,34.2,,69.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6201,,5001,2081,UGC 00371,34.26,,71.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6292,,5070,2113,UGC 00376,33.74,,56.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6293,,5071,2113,UGC 00376,33.75,,56.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6294,,5072,2113,UGC 00376,33.76,,56.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6296,,5074,2113,UGC 00376,34.02,,63.6,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6320,,5095,2120,UGC 00379,33.77,,56.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6321,,5096,2120,UGC 00379,33.79,,57.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6322,,5097,2120,UGC 00379,33.8,,57.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6323,,5098,2120,UGC 00379,33.82,,58.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6343,,5117,2128,FGC 0068,35.51,,126.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6344,,5118,2128,FGC 0068,35.51,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6345,,5119,2128,FGC 0068,35.51,,127.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6346,,5120,2128,FGC 0068,35.62,,133.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6553,,5287,2187,NGC 0178,28.34,,4.66,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
6554,,5288,2187,NGC 0178,28.44,,4.88,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Mean of B mag and Diameter TF relation
6555,,5289,2187,NGC 0178,28.63,,5.32,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
6610,,5336,2204,FGC 0069,35.97,,156.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6611,,5337,2204,FGC 0069,35.99,,158.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6612,,5338,2204,FGC 0069,36.0,,159.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6613,,5339,2204,FGC 0069,36.01,,159.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6646,,5363,2218,ESO 351- G 001,34.22,,69.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6649,,5366,2218,ESO 351- G 001,34.48,,78.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6650,,5367,2218,ESO 351- G 001,34.49,,79.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6651,,5368,2218,ESO 351- G 001,34.51,,79.6,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6693,,5410,2227,UGC 00418,34.25,,70.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6694,,5411,2227,UGC 00418,34.26,,71.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6695,,5412,2227,UGC 00418,34.27,,71.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6697,,5414,2227,UGC 00418,34.31,,72.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
6837,,5537,2281,NGC 0210,30.79,,14.4,Tully-Fisher,1985A&A...153..125G,,,90.0,,5,B
6849,,5549,2281,NGC 0210,31.67,,21.6,Tully-Fisher,2017MNRAS.468.2058E,,,,,37,
6858,,5558,2283,FGC 0072,35.22,,111.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
6859,,5559,2283,FGC 0072,35.24,,112.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
6860,,5560,2283,FGC 0072,35.26,,113.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
6945,,5630,2324,UGC 00433,33.89,,60.0,Tully-Fisher,1980ApJ...239...12A,,,95.0,,0,
6952,,5637,2324,UGC 00433,34.33,,73.3,Tully-Fisher,2000BSAO...50....5K,,,,,20,
